KOD,NAZEV,LATNAZEV,ANAZEV,DOD,DDO,NEPLATNOST
P5162,Onkologie (čtyřleté),,Oncology,,,
P5163,"Hygiena, preventivní lékařství (čtyřleté)",,"Hygiene, Preventive Medicine",,,
P5164,Otorinolaryngologie (čtyřleté),,,,,
P5165,Stomatologie (čtyřleté),,Stomatology (čtyřleté),,,
P5166,Lékařská mikrobiologie (čtyřleté),,,,,
P5167,"Anesteziologie, intenzivní medicína a algeziologie (čtyřleté)",,,,,
P5168,Gynekologie a porodnictví (čtyřleté),,,,,
P5169,"Hygiena, preventivní lékařství a epidemiologie (čtyřleté)",,,,,
P5170,Chirurgie (čtyřleté),,,,,
P5171,Vnitřní nemoci (čtyřleté),,,,,
P5172,Neurologie (čtyřleté),,,,,
P5173,Patologie (čtyřleté),,,,,
P5174,Pediatrie (čtyřleté),,,,,
P5175,Radiologie - zobrazovací metody (čtyřleté),,Radiology - Imagine Methods (čtyřleté),,,
P5176,Dermatovenerologie (čtyřleté),,,,,
P5177,Lékařská genetika (čtyřleté),,Medical Genetics (čtyřleté),,,
P5178,Lékařská imunologie (čtyřleté),,Medical Immunology (čtyřleté),,,
P5179,Zobrazovací metody (čtyřleté),,Imaging Methods (čtyřleté),,,
P5180,Patologická anatomie a soudní lékařství (čtyřleté),,Pathological Anatomy and Forensic Medicine (čtyřleté),,,
P5181,Lékařská biofyzika (čtyřleté),,,,,
P5182,Infekční biologie,,Infectious Biology,,,
P5183,Bioetika,,Bioethics,,,
P5184,Urologie (čtyřleté),,Urology (čtyřleté),,,
P5185,Ortopedie,,Orthopaedics,,,
P5186,Lékařská chemie a klinická biochemie,,Medical Chemistry and Clinical Biochemistry,,,
P5187,Sociální lékařství,,Social Medicine,,,
P5188,Neurovědy (čtyřleté),,Neurosciences (čtyřleté),,,
P5189,Preventivní medicína a ochrana veřejného zdraví,,,,,
P5190,Hematologie,,,,,
P5206,Farmacie,,Pharmacy,,,
P5207,Zdravotnická bioanalytika,,Healthcare Bioanalytics,,,
P5208,Farmakologie a toxikologie,,Pharmacology and Toxicology,,,
P5210,Toxikologie,,Toxicology,,,
P5341,Ošetřovatelství,,Nursing,,,
P5342,Rehabilitace,,,,,
P5345,Specializace ve zdravotnictví,,Specializations in Health Service,,,
P5346,Ekonomika a řízení zdravotnictví,,,,,
P5347,Veřejné zdravotnictví,,,,,
P5348,Specializace ve zdravotnictví (kombinované),,,,,
P6101,Filozofie,,Philosophie,,,
P6107,Humanitní studia,,Humanities,,,
